Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Aragón - Vicente Sancho Tello;78;T;3;17;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.358688329939162, 39.46994531050937], ""type"": ""Point""}";39.46994531050937, -0.358688329939162;2025-11-19T13:27:40+01:00
Micer Mascó - Rodriguez Fornos;81;T;2;17;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36097833354659675, 39.47512832851177], ""type"": ""Point""}";39.47512832851177, -0.36097833354659675;2025-11-19T13:21:41+01:00
Naranjos (Magisterio);95;T;28;5;33;F;19/11/2025 12:29:32;"{""coordinates"": [-0.34611927939668474, 39.47983533734356], ""type"": ""Point""}";39.47983533734356, -0.34611927939668474;2025-11-19T13:28:32+01:00
Amadeo de Saboya (frente Ayuntamiento);80;T;9;16;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36229833944736023, 39.47374232444908], ""type"": ""Point""}";39.47374232444908, -0.36229833944736023;2025-11-19T13:27:45+01:00
Blasco Ibañez - Jaime Roig;85;T;17;6;23;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3647153422684407, 39.479464345022826], ""type"": ""Point""}";39.479464345022826, -0.3647153422684407;2025-11-19T13:26:18+01:00
Gaspar Aguilar - Vicente Parra;86;T;9;11;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39119345191575566, 39.4552402764855], ""type"": ""Point""}";39.4552402764855, -0.39119345191575566;2025-11-19T13:27:19+01:00
Av. Puerto 61-63;64;T;6;14;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.35419531724959286, 39.46651829706714], ""type"": ""Point""}";39.46651829706714, -0.35419531724959286;2025-11-19T13:28:35+01:00
Guillem de Anglesola - Av. Puerto;66;T;0;25;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3462612916525901, 39.46427128532339], ""type"": ""Point""}";39.46427128532339, -0.3462612916525901;2025-11-19T13:19:39+01:00
Av. Puerto - Plaza Tribunal de les Aigües;71;T;15;5;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.33353125122308164, 39.46038026686525], ""type"": ""Point""}";39.46038026686525, -0.33353125122308164;2025-11-19T13:22:40+01:00
Plaza Ayuntamiento - Cotanda;11;T;16;11;27;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3767843903416451, 39.47118632283677], ""type"": ""Point""}";39.47118632283677, -0.3767843903416451;2025-11-19T13:25:38+01:00
Alfonso el Magnánimo - Nave;13;T;18;6;24;F;19/11/2025 12:29:32;"{""coordinates"": [-0.37087436964085335, 39.4720623227334], ""type"": ""Point""}";39.4720623227334, -0.37087436964085335;2025-11-19T13:27:52+01:00
Ribera - Plaza Ayuntamiento;15;T;26;8;34;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3756373880434071, 39.46908831533384], ""type"": ""Point""}";39.46908831533384, -0.3756373880434071;2025-11-19T13:23:05+01:00
Salvador Giner - C. Museo;2;T;0;15;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3797483936090024, 39.479889353348874], ""type"": ""Point""}";39.479889353348874, -0.3797483936090024;2025-11-19T13:19:58+01:00
Huesca - Barón de Cárcer;14;T;19;1;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.37972440222295445, 39.46896731649349], ""type"": ""Point""}";39.46896731649349, -0.37972440222295445;2025-11-19T13:27:42+01:00
Colón 20-22;18;T;0;0;24;F;19/11/2025 12:29:32;"{""coordinates"": [-0.37312937987373457, 39.468191311513856], ""type"": ""Point""}";39.468191311513856, -0.37312937987373457;2025-11-19T13:25:41+01:00
Angel Guimerá - Juan Llorens;22;T;12;3;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3883534313205414, 39.46978732404922], ""type"": ""Point""}";39.46978732404922, -0.3883534313205414;2025-11-19T13:22:39+01:00
San José de Calasanz - Salas Quiroga;26;T;8;7;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.38586429939117395, 39.46633523268935], ""type"": ""Point""}";39.46633523268935, -0.38586429939117395;2025-11-19T13:24:39+01:00
Navarro Reverter - Grabador Esteve;28;T;19;7;29;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36775135880068294, 39.47158231958138], ""type"": ""Point""}";39.47158231958138, -0.36775135880068294;2025-11-19T13:24:52+01:00
Regne de Valencia - Doctor Sumsi;34;T;17;0;17;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36996137299092113, 39.46412229654908], ""type"": ""Point""}";39.46412229654908, -0.36996137299092113;2025-11-19T13:27:02+01:00
Fernando el Católico - Erudito Orellana;23;T;5;14;19;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3861784216967592, 39.471628328748515], ""type"": ""Point""}";39.471628328748515, -0.3861784216967592;2025-11-19T13:21:25+01:00
Salamanca - Conde Altea;31;T;10;8;19;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3650283531086902, 39.467365304622646], ""type"": ""Point""}";39.467365304622646, -0.3650283531086902;2025-11-19T13:25:51+01:00
